participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,name,inter_time_interval,response_time,response_window,late_response,correct_button
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,0,DG-03-MW-021,500,441.1460161,500,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,1,DG-03-MW-021,500,303.7779927,490,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,1,DG-03-MW-021,500,303.2310009,490,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,2,DG-03-MW-021,500,288.3209586,480,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,2,DG-03-MW-021,500,295.650959,480,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,3,DG-03-MW-021,500,330.6309581,460,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,3,DG-03-MW-021,500,291.4580107,460,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,4,DG-03-MW-021,500,286.5049839,420,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,4,DG-03-MW-021,500,321.7669725,420,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,5,DG-03-MW-021,500,343.4939981,340,1,0
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,5,DG-03-MW-021,500,291.7339802,340,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,6,DG-03-MW-021,500,319.2899823,380,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,6,DG-03-MW-021,500,280.3930044,180,1,0
