Participant Id,Time Gameplayed Utc,Time Sent Utc,Condition,Trial Number,Correct Button,Inter Time Interval,Late Response,Response Time,Response Window
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Right,0,1,900,0,550,600
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Right,1,1,1000,0,300,590
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Right,2,1,1100,0,300,570
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Right,3,1,1200,0,167,540
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Right,4,1,800,0,183,500
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Right,5,1,1200,0,450,450
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Right,6,0,900,0,50,490
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Right,7,0,1000,1,750,570
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Right,8,0,800,1,1417,690
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Right,9,1,1100,0,666,850
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,RightThumb,0,0,1200,1,617,600
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,RightThumb,1,0,1100,1,717,640
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,RightThumb,2,1,900,0,416,720
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,RightThumb,3,1,800,0,450,710
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,RightThumb,4,1,1000,0,183,690
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,RightThumb,5,1,1100,0,200,660
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,RightThumb,6,1,1200,0,267,620
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,RightThumb,7,1,900,0,383,570
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,RightThumb,8,1,1000,0,367,510
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,RightThumb,9,1,800,0,400,440
