,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Trial Cue,Trial Response,Response Window,Trial Number,FPS Mean,FPS Variance,Condition,Trial Correct,RG Color Deficiency,Time Sent Utc,Detail,Finger Used
10,2024-03-06T18:24:20.5630000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,0,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,256,1.22.27,0,Chrome 122,3,45,45,-1,3,120.428009,48.5248947,DEFAULT,1,N/A,2024-03-06T18:24:20.5630000Z,N/A,N/A
11,2024-03-06T18:24:20.5630000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,0,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,256,1.22.27,0,Chrome 122,3,5,5,-1,4,120.317154,51.3557243,DEFAULT,1,N/A,2024-03-06T18:24:20.5630000Z,N/A,N/A
12,2024-03-06T18:24:20.5630000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,0,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,256,1.22.27,0,Chrome 122,3,5,5,-1,5,120.39444,48.587,DEFAULT,1,N/A,2024-03-06T18:24:20.5630000Z,N/A,N/A
13,2024-03-06T18:24:20.5630000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,0,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,256,1.22.27,0,Chrome 122,3,42,42,-1,6,120.530746,58.1372643,DEFAULT,1,N/A,2024-03-06T18:24:20.5630000Z,N/A,N/A
14,2024-02-05T23:51:00.6870000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_21,Successful,0,Real,Windows 10,799,1198,Eastern Standard Time,"ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 121,3,12,12,-1,0,117.136047,161.336151,DEFAULT,1,N/A,2024-02-05T23:51:00.6870000Z,N/A,N/A
15,2024-02-05T23:51:00.6870000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_21,Successful,0,Real,Windows 10,799,1198,Eastern Standard Time,"ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 121,3,6,6,-1,1,113.681473,156.490356,DEFAULT,1,N/A,2024-02-05T23:51:00.6870000Z,N/A,N/A
16,2024-02-05T23:51:00.6870000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_21,Successful,0,Real,Windows 10,799,1198,Eastern Standard Time,"ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 121,3,35,35,-1,2,116.0578,156.115479,DEFAULT,1,N/A,2024-02-05T23:51:00.6870000Z,N/A,N/A
17,2024-02-05T23:51:00.6870000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_21,Successful,0,Real,Windows 10,799,1198,Eastern Standard Time,"ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 121,3,6,6,-1,3,121.771988,57.743824,DEFAULT,1,N/A,2024-02-05T23:51:00.6870000Z,N/A,N/A
18,2024-02-05T23:51:00.6870000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_21,Successful,0,Real,Windows 10,799,1198,Eastern Standard Time,"ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 121,3,-1,38,-1,4,121.656891,63.58132,DEFAULT,0,N/A,2024-02-05T23:51:00.6870000Z,N/A,N/A
19,2024-02-05T23:51:00.6870000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_21,Successful,0,Real,Windows 10,799,1198,Eastern Standard Time,"ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 121,3,5,5,-1,5,115.950027,116.438286,DEFAULT,1,N/A,2024-02-05T23:51:00.6870000Z,N/A,N/A
20,2024-02-05T23:51:00.6870000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_21,Successful,0,Real,Windows 10,799,1198,Eastern Standard Time,"ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 121,3,5,5,-1,6,120.338966,92.58609,DEFAULT,1,N/A,2024-02-05T23:51:00.6870000Z,N/A,N/A
21,2024-02-05T14:23:16.8410000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_20,Successful,0,Real,Mac OS X 10_15_7,1482,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M1, Unspecified Version)",0,17,10,1,128,1.22.27,0,Chrome 118,3,12,12,-1,0,114.413605,95.3182,DEFAULT,1,N/A,2024-02-05T14:23:16.8410000Z,N/A,N/A
22,2024-02-05T14:23:16.8410000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_20,Successful,0,Real,Mac OS X 10_15_7,1482,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M1, Unspecified Version)",0,17,10,1,128,1.22.27,0,Chrome 118,3,6,6,-1,1,115.447083,84.04928,DEFAULT,1,N/A,2024-02-05T14:23:16.8410000Z,N/A,N/A
23,2024-02-05T14:23:16.8410000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_20,Successful,0,Real,Mac OS X 10_15_7,1482,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M1, Unspecified Version)",0,17,10,1,128,1.22.27,0,Chrome 118,3,-1,-1,-1,2,115.17366,81.42105,DEFAULT,1,N/A,2024-02-05T14:23:16.8410000Z,N/A,N/A
24,2024-02-05T14:23:16.8410000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_20,Successful,0,Real,Mac OS X 10_15_7,1482,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M1, Unspecified Version)",0,17,10,1,128,1.22.27,0,Chrome 118,3,8,8,-1,3,114.090851,70.24986,DEFAULT,1,N/A,2024-02-05T14:23:16.8410000Z,N/A,N/A
