,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Object Count,Response Time,Stimulus Array Time,Total Taps,Point 0 RT,Tap 0 RT,Point 1 RT,Tap 1 RT,Point 2 RT,Tap 2 RT,Point 3 RT,Tap 3 RT,Point 4 RT,Tap 4 RT,Point 5 RT,Tap 5 RT,Point 6 RT,Tap 6 RT,Point 7 RT,Tap 7 RT,Point 8 RT,Tap 8 RT,Point 9 RT,Tap 9 RT,Point 10 RT,Tap 10 RT,Point 11 RT,Tap 11 RT,Point 12 RT,Tap 12 RT,Point 13 RT,Tap 13 RT,Point 14 RT,Tap 14 RT,Time Sent Utc,Detail,Finger Used
128,2023-11-29T22:52:16.1352090Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_7,Successful,0,Real,iPadOS 17.1.1,1640,2360,EST,Apple A14 GPU,0,8,10,6,3873,1.22.31,264,"iPad13,1",1,12000,9,60.0063171,0.22302395100000003,DEFAULT,0,7,2851,8000,6,"{456, 183}",634,"{591, 244}",400,"{99, 293}",500,"{230, 224}",450,"{49, 102}",433,"{427, 315}",434,"{640, 122}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:16.1352090Z,N/A,N/A
129,2023-11-29T22:52:16.1352090Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_7,Successful,0,Real,iPadOS 17.1.1,1640,2360,EST,Apple A14 GPU,0,8,10,6,3873,1.22.31,264,"iPad13,1",1,12000,10,60.01035,0.40231636200000004,DEFAULT,0,7,1900,8000,4,"{99, 293}",550,"{640, 122}",350,"{230, 224}",434,"{591, 244}",566,"{456, 183}",N/A,"{249, 41}",N/A,"{446, 61}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:16.1352090Z,N/A,N/A
130,2023-11-29T22:52:16.1352090Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_7,Successful,0,Real,iPadOS 17.1.1,1640,2360,EST,Apple A14 GPU,0,8,10,6,3873,1.22.31,264,"iPad13,1",1,12000,11,60.00599,0.101340815,DEFAULT,1,7,4216,8000,7,"{249, 41}",733,"{446, 61}",583,"{230, 224}",400,"{456, 183}",1034,"{591, 244}",466,"{640, 122}",617,"{99, 293}",383,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:16.1352090Z,N/A,N/A
131,2023-11-29T22:52:16.1352090Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_7,Successful,0,Real,iPadOS 17.1.1,1640,2360,EST,Apple A14 GPU,0,8,10,6,3873,1.22.31,264,"iPad13,1",1,12000,12,60.0094376,0.2955852,DEFAULT,0,7,3350,8000,5,"{49, 102}",650,"{591, 244}",383,"{230, 224}",400,"{446, 61}",517,"{427, 315}",1400,"{249, 41}",N/A,"{640, 122}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:16.1352090Z,N/A,N/A
132,2023-11-29T22:52:16.1352090Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_7,Successful,0,Real,iPadOS 17.1.1,1640,2360,EST,Apple A14 GPU,0,8,10,6,3873,1.22.31,264,"iPad13,1",1,12000,13,60.0088234,0.291800022,DEFAULT,0,7,4700,8000,7,"{49, 102}",733,"{456, 183}",317,"{640, 122}",383,"{249, 41}",350,"{230, 224}",2067,"{591, 244}",483,"{427, 315}",367,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:16.1352090Z,N/A,N/A
133,2023-11-29T22:52:16.1352090Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_7,Successful,0,Real,iPadOS 17.1.1,1640,2360,EST,Apple A14 GPU,0,8,10,6,3873,1.22.31,264,"iPad13,1",1,12000,14,60.01179,0.484347552,DEFAULT,0,7,3517,8000,4,"{446, 61}",667,"{249, 41}",300,"{640, 122}",383,"{49, 102}",2167,"{591, 244}",N/A,"{427, 315}",N/A,"{456, 183}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:16.1352090Z,N/A,N/A
134,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,8000,0,84.97799,686.167236,DEFAULT,0,3,2867,4000,3,"{99, 293}",1150,"{230, 224}",1084,"{446, 61}",633,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
135,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,8000,1,88.26984,679.3351,DEFAULT,1,3,1900,4000,3,"{456, 183}",683,"{230, 224}",667,"{591, 244}",550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
136,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,8000,2,85.72222,677.992737,DEFAULT,1,3,2384,4000,3,"{427, 315}",700,"{249, 41}",567,"{49, 102}",1117,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
137,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,9000,3,85.95031,653.359436,DEFAULT,1,4,2917,5000,4,"{456, 183}",383,"{99, 293}",900,"{640, 122}",917,"{230, 224}",717,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
