,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Object Count,Response Time,Stimulus Array Time,Total Taps,Point 0 RT,Tap 0 RT,Point 1 RT,Tap 1 RT,Point 2 RT,Tap 2 RT,Point 3 RT,Tap 3 RT,Point 4 RT,Tap 4 RT,Point 5 RT,Tap 5 RT,Point 6 RT,Tap 6 RT,Point 7 RT,Tap 7 RT,Point 8 RT,Tap 8 RT,Point 9 RT,Tap 9 RT,Point 10 RT,Tap 10 RT,Point 11 RT,Tap 11 RT,Point 12 RT,Tap 12 RT,Point 13 RT,Tap 13 RT,Point 14 RT,Tap 14 RT,Time Sent Utc,Detail,Finger Used
72,2023-11-29T22:49:50.0000000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_8,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.27,0,Safari 16.5,3,9000,3,54.75372,1539.51428,DEFAULT,1,4,3817,5000,4,"{249, 41}",1433,"{640, 122}",734,"{99, 293}",833,"{49, 102}",817,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:49:50.0000000Z,N/A,N/A
73,2023-11-29T22:49:50.0000000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_8,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.27,0,Safari 16.5,3,10000,4,58.69783,1694.463,DEFAULT,1,5,3600,6000,5,"{99, 293}",767,"{427, 315}",700,"{591, 244}",683,"{230, 224}",750,"{249, 41}",700,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:49:50.0000000Z,N/A,N/A
74,2023-11-29T22:49:50.0000000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_8,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.27,0,Safari 16.5,3,10000,5,58.657402,1779.72632,DEFAULT,1,5,4166,6000,5,"{640, 122}",866,"{230, 224}",1000,"{99, 293}",617,"{456, 183}",883,"{446, 61}",800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:49:50.0000000Z,N/A,N/A
75,2023-11-29T22:49:50.0000000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_8,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.27,0,Safari 16.5,3,11000,6,56.4809952,1667.42358,DEFAULT,1,6,5367,7000,6,"{446, 61}",783,"{49, 102}",950,"{456, 183}",834,"{230, 224}",883,"{427, 315}",850,"{249, 41}",1067,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:49:50.0000000Z,N/A,N/A
76,2023-11-29T22:49:50.0000000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_8,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.27,0,Safari 16.5,3,11000,7,58.3949471,1719.10974,DEFAULT,1,6,4266,7000,6,"{249, 41}",783,"{446, 61}",767,"{640, 122}",633,"{49, 102}",867,"{99, 293}",633,"{427, 315}",583,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:49:50.0000000Z,N/A,N/A
77,2023-11-29T22:49:50.0000000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_8,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.27,0,Safari 16.5,3,12000,8,57.19409,1671.28247,DEFAULT,1,7,4567,8000,7,"{49, 102}",600,"{249, 41}",717,"{230, 224}",567,"{99, 293}",599,"{591, 244}",784,"{456, 183}",650,"{446, 61}",650,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:49:50.0000000Z,N/A,N/A
78,2023-11-29T22:49:50.0000000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_8,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.27,0,Safari 16.5,3,12000,9,58.7355728,1769.16736,DEFAULT,1,7,5301,8000,7,"{456, 183}",667,"{591, 244}",650,"{99, 293}",883,"{230, 224}",500,"{49, 102}",650,"{427, 315}",1101,"{640, 122}",850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:49:50.0000000Z,N/A,N/A
79,2023-11-29T22:49:50.0000000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_8,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.27,0,Safari 16.5,3,13000,10,57.4663239,1678.2406,DEFAULT,1,8,6151,9000,8,"{591, 244}",567,"{230, 224}",900,"{49, 102}",717,"{456, 183}",916,"{249, 41}",867,"{427, 315}",633,"{99, 293}",784,"{640, 122}",767,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:49:50.0000000Z,N/A,N/A
80,2023-11-29T22:49:50.0000000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_8,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.27,0,Safari 16.5,3,13000,11,57.41773,1707.15466,DEFAULT,1,8,6017,9000,8,"{591, 244}",667,"{446, 61}",800,"{456, 183}",617,"{427, 315}",667,"{249, 41}",950,"{99, 293}",733,"{49, 102}",650,"{640, 122}",933,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:49:50.0000000Z,N/A,N/A
81,2023-11-29T22:49:50.0000000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_8,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.27,0,Safari 16.5,3,14000,12,59.87173,1799.33057,DEFAULT,0,9,2351,10000,3,"{446, 61}",700,"{427, 315}",1017,"{99, 293}",634,"{456, 183}",N/A,"{591, 244}",N/A,"{49, 102}",N/A,"{230, 224}",N/A,"{640, 122}",N/A,"{249, 41}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:49:50.0000000Z,N/A,N/A
82,2023-11-29T22:49:50.0000000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_8,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.27,0,Safari 16.5,3,14000,13,57.49658,1650.05908,DEFAULT,0,9,2483,10000,3,"{230, 224}",1116,"{640, 122}",817,"{427, 315}",550,"{446, 61}",N/A,"{456, 183}",N/A,"{591, 244}",N/A,"{99, 293}",N/A,"{249, 41}",N/A,"{49, 102}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:49:50.0000000Z,N/A,N/A
83,2023-11-29T22:49:50.0000000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_8,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.27,0,Safari 16.5,3,14000,14,60.5957527,1835.52539,DEFAULT,0,9,1700,10000,2,"{49, 102}",1084,"{446, 61}",616,"{640, 122}",N/A,"{591, 244}",N/A,"{249, 41}",N/A,"{99, 293}",N/A,"{230, 224}",N/A,"{456, 183}",N/A,"{427, 315}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:49:50.0000000Z,N/A,N/A
