Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,RG Color Deficiency,Trial Correct,Trial Cue,Trial Response
nsinternal_ag,2020-05-19T23:24:20.500Z,2020-05-19T23:24:20.500Z,,default,0,118.078743,79.98302,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,N/A,0,-1,49
nsinternal_ag,2020-05-19T23:24:20.500Z,2020-05-19T23:24:20.500Z,,default,1,118.250061,80.94004,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,N/A,1,12,12
nsinternal_ag,2020-05-19T23:24:20.500Z,2020-05-19T23:24:20.500Z,,default,2,118.262772,81.127655,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,N/A,1,29,29
nsinternal_ag,2020-05-19T23:24:20.500Z,2020-05-19T23:24:20.500Z,,default,3,118.274391,81.25177,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,N/A,1,7,7
nsinternal_ag,2020-05-19T23:24:20.500Z,2020-05-19T23:24:20.500Z,,default,4,118.370979,81.63692,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,N/A,1,6,6
nsinternal_ag,2020-05-19T23:24:20.500Z,2020-05-19T23:24:20.500Z,,default,5,118.407509,81.738266,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,N/A,1,15,15
nsinternal_ag,2020-05-19T23:24:20.500Z,2020-05-19T23:24:20.500Z,,default,6,118.360252,81.54285,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,N/A,1,42,42
nsinternal_am,2020-05-25T22:49:01.681Z,2020-05-25T22:49:01.681Z,,default,0,119.785652,89.6667,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,0,45,-1
nsinternal_am,2020-05-25T22:49:01.681Z,2020-05-25T22:49:01.681Z,,default,1,118.431976,86.68485,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,0,3,-1
nsinternal_am,2020-05-25T22:49:01.681Z,2020-05-25T22:49:01.681Z,,default,2,118.239891,107.907555,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,0,7,-1
nsinternal_am,2020-05-25T22:49:01.681Z,2020-05-25T22:49:01.681Z,,default,3,118.27739,100.253021,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,1,-1,-1
nsinternal_am,2020-05-25T22:49:01.681Z,2020-05-25T22:49:01.681Z,,default,4,118.260529,92.3256454,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,0,12,-1
nsinternal_am,2020-05-25T22:49:01.681Z,2020-05-25T22:49:01.681Z,,default,5,118.501595,80.45776,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,0,35,53
nsinternal_am,2020-05-25T22:49:01.681Z,2020-05-25T22:49:01.681Z,,default,6,119.359642,101.452118,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,1,8,8
nsinternal_bl,2020-05-22T16:50:15.687Z,2020-05-22T16:50:15.687Z,,default,0,124.089272,52.9242134,Successful,Real,N/A,Mac OS X 10_15_4,725,1065,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,29,29
nsinternal_bl,2020-05-22T16:50:15.687Z,2020-05-22T16:50:15.687Z,,default,1,125.526573,60.5405,Successful,Real,N/A,Mac OS X 10_15_4,725,1065,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,-1,-1
nsinternal_bl,2020-05-22T16:50:15.687Z,2020-05-22T16:50:15.687Z,,default,2,125.320244,63.1647758,Successful,Real,N/A,Mac OS X 10_15_4,725,1065,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,12,12
nsinternal_bl,2020-05-22T16:50:15.687Z,2020-05-22T16:50:15.687Z,,default,3,125.311623,65.518364,Successful,Real,N/A,Mac OS X 10_15_4,725,1065,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,15,15
nsinternal_bl,2020-05-22T16:50:15.687Z,2020-05-22T16:50:15.687Z,,default,4,124.91684,54.51929,Successful,Real,N/A,Mac OS X 10_15_4,725,1065,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,42,42
nsinternal_bl,2020-05-22T16:50:15.687Z,2020-05-22T16:50:15.687Z,,default,5,124.88604,60.1941872,Successful,Real,N/A,Mac OS X 10_15_4,725,1065,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,6,6
nsinternal_bl,2020-05-22T16:50:15.687Z,2020-05-22T16:50:15.687Z,,default,6,125.281761,51.1295662,Successful,Real,N/A,Mac OS X 10_15_4,725,1065,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,16,16
nsinternal_clg,2020-05-21T19:11:59.829Z,2020-05-21T19:11:59.829Z,,default,0,113.224335,175.899536,Successful,Real,N/A,Mac OS X 10_14_6,748,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,1,96,96
nsinternal_clg,2020-05-21T19:11:59.829Z,2020-05-21T19:11:59.829Z,,default,1,113.734413,176.988266,Successful,Real,N/A,Mac OS X 10_14_6,748,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,0,16,26
nsinternal_clg,2020-05-21T19:11:59.829Z,2020-05-21T19:11:59.829Z,,default,2,112.482246,200.90596,Successful,Real,N/A,Mac OS X 10_14_6,748,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,1,97,97
nsinternal_clg,2020-05-21T19:11:59.829Z,2020-05-21T19:11:59.829Z,,default,3,113.5598,149.780777,Successful,Real,N/A,Mac OS X 10_14_6,748,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,1,12,12
nsinternal_clg,2020-05-21T19:11:59.829Z,2020-05-21T19:11:59.829Z,,default,4,111.074417,205.424225,Successful,Real,N/A,Mac OS X 10_14_6,748,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,1,-1,-1
nsinternal_clg,2020-05-21T19:11:59.829Z,2020-05-21T19:11:59.829Z,,default,5,114.5366,156.986618,Successful,Real,N/A,Mac OS X 10_14_6,748,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,1,5,5
nsinternal_clg,2020-05-21T19:11:59.829Z,2020-05-21T19:11:59.829Z,,default,6,112.693878,238.881317,Successful,Real,N/A,Mac OS X 10_14_6,748,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,1,6,6
nsinternal_kb,2020-05-25T07:38:09.597Z,2020-05-25T07:38:09.597Z,,default,0,112.722137,241.356812,Successful,Real,N/A,Mac OS X 10_14_6,612,1198,1.16.36,GMT,0,Chrome 83,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,1,6,6
nsinternal_kb,2020-05-25T07:38:09.597Z,2020-05-25T07:38:09.597Z,,default,1,112.97702,217.352066,Successful,Real,N/A,Mac OS X 10_14_6,612,1198,1.16.36,GMT,0,Chrome 83,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,0,96,69
nsinternal_kb,2020-05-25T07:38:09.597Z,2020-05-25T07:38:09.597Z,,default,2,117.127113,166.679337,Successful,Real,N/A,Mac OS X 10_14_6,612,1198,1.16.36,GMT,0,Chrome 83,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,1,73,73
nsinternal_kb,2020-05-25T07:38:09.597Z,2020-05-25T07:38:09.597Z,,default,3,114.795517,187.855026,Successful,Real,N/A,Mac OS X 10_14_6,612,1198,1.16.36,GMT,0,Chrome 83,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,0,3,2
nsinternal_kb,2020-05-25T07:38:09.597Z,2020-05-25T07:38:09.597Z,,default,4,107.212219,285.041382,Successful,Real,N/A,Mac OS X 10_14_6,612,1198,1.16.36,GMT,0,Chrome 83,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,0,97,79
nsinternal_kb,2020-05-25T07:38:09.597Z,2020-05-25T07:38:09.597Z,,default,5,110.398079,239.515137,Successful,Real,N/A,Mac OS X 10_14_6,612,1198,1.16.36,GMT,0,Chrome 83,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,1,-1,-1
nsinternal_kb,2020-05-25T07:38:09.597Z,2020-05-25T07:38:09.597Z,,default,6,108.948532,259.657654,Successful,Real,N/A,Mac OS X 10_14_6,612,1198,1.16.36,GMT,0,Chrome 83,Desktop,Intel(R) Iris(TM) Graphics 6100,English,1,0,WebGLPlayer,256,0,N/A,1,12,12
nsinternal_ma,2020-05-22T19:22:28.180Z,2020-05-22T19:22:28.180Z,,default,0,113.553558,172.255844,Successful,Real,N/A,Mac OS X 10_13_6,699,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) HD Graphics 6000,English,1,0,WebGLPlayer,256,0,N/A,1,-1,-1
nsinternal_ma,2020-05-22T19:22:28.180Z,2020-05-22T19:22:28.180Z,,default,1,111.880768,208.63797,Successful,Real,N/A,Mac OS X 10_13_6,699,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) HD Graphics 6000,English,1,0,WebGLPlayer,256,0,N/A,1,29,29
nsinternal_ma,2020-05-22T19:22:28.180Z,2020-05-22T19:22:28.180Z,,default,2,116.370178,128.549271,Successful,Real,N/A,Mac OS X 10_13_6,699,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) HD Graphics 6000,English,1,0,WebGLPlayer,256,0,N/A,1,15,15
nsinternal_ma,2020-05-22T19:22:28.180Z,2020-05-22T19:22:28.180Z,,default,3,110.002151,195.7616,Successful,Real,N/A,Mac OS X 10_13_6,699,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) HD Graphics 6000,English,1,0,WebGLPlayer,256,0,N/A,1,12,12
nsinternal_ma,2020-05-22T19:22:28.180Z,2020-05-22T19:22:28.180Z,,default,4,111.521248,220.164581,Successful,Real,N/A,Mac OS X 10_13_6,699,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) HD Graphics 6000,English,1,0,WebGLPlayer,256,0,N/A,1,45,45
nsinternal_ma,2020-05-22T19:22:28.180Z,2020-05-22T19:22:28.180Z,,default,5,109.168808,216.394958,Successful,Real,N/A,Mac OS X 10_13_6,699,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) HD Graphics 6000,English,1,0,WebGLPlayer,256,0,N/A,1,16,16
nsinternal_ma,2020-05-22T19:22:28.180Z,2020-05-22T19:22:28.180Z,,default,6,109.5573,246.7394,Successful,Real,N/A,Mac OS X 10_13_6,699,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) HD Graphics 6000,English,1,0,WebGLPlayer,256,0,N/A,1,35,35
nsinternal_ras,2020-05-20T10:55:29.144Z,2020-05-20T10:55:29.144Z,,default,0,123.031456,37.23844,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,42,42
nsinternal_ras,2020-05-20T10:55:29.144Z,2020-05-20T10:55:29.144Z,,default,1,123.121025,37.4201431,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,6,6
nsinternal_ras,2020-05-20T10:55:29.144Z,2020-05-20T10:55:29.144Z,,default,2,123.216484,36.58514,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,15,15
nsinternal_ras,2020-05-20T10:55:29.144Z,2020-05-20T10:55:29.144Z,,default,3,123.281807,35.8808556,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,-1,-1
nsinternal_ras,2020-05-20T10:55:29.144Z,2020-05-20T10:55:29.144Z,,default,4,123.331604,35.6996422,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,45,45
nsinternal_ras,2020-05-20T10:55:29.144Z,2020-05-20T10:55:29.144Z,,default,5,123.342384,35.45138,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,7,7
nsinternal_ras,2020-05-20T10:55:29.144Z,2020-05-20T10:55:29.144Z,,default,6,123.367279,35.0161057,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,12,12
