Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Blue Distractors,Button Pressed,Correct Button,Cue Rotated,Degree Of Change,Difficulty Level,Late Response,Original Orientation,Red Rectangles,Response Time,Response Window
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B0,0,118.946007,89.5211,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,Same,0,1,0.7853982,Easy,1,0.034906585,2,1867,1133
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B0,1,118.970383,89.22095,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,Different,0,0,0,Easy,0,0,2,716,1173
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B0,2,119.038956,89.77898,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Easy,0,0.08726646,2,717,1253
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B0,3,119.073845,89.68324,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Medium,0,1.91986215,2,617,1243
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B0,4,119.094269,89.7611,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Medium,0,2.32128787,2,884,1223
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B0,5,119.130661,90.14041,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,Same,1,0,0,Hard,0,0,2,683,1193
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B0,6,119.141693,90.38174,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,Same,1,0,0,Hard,0,0,2,800,1153
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B0,7,119.171875,90.29872,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,Same,1,0,0,Hard,0,0,2,817,1103
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B0,8,119.161537,90.2561,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,Same,0,1,0.7853982,Hard,0,0.9075712,2,799,1043
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B0,9,119.19986,90.3851,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,Same,0,1,0.7853982,Medium,1,0.471238881,2,1234,1083
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B0,10,119.233757,90.465126,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,Different,0,0,0,Medium,0,0,2,583,1163
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B0,11,119.277718,90.51749,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,Same,1,0,0,Medium,0,0,2,500,1283
nsinternal_ag,2020-05-20T00:33:50.391Z,2020-05-20T00:33:50.391Z,,R2B2,0,119.3543,90.4652,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,2,Different,0,0,0,Medium,0,0,2,933,1133
