Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Late Response,Position Is Top,Response Time,Response Window,Tap,Trial Accuracy
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,10,118.386719,76.35861,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,11,118.382187,76.28797,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,12,118.377708,76.13565,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,13,118.356949,76.0044,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,14,118.343681,75.92803,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,15,118.326393,75.8814,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,16,118.329834,75.96646,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,0,1,399,2100,Yes,Hit
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,17,118.314453,75.60215,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,0,1,550,2100,Yes,Hit
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,18,118.285454,75.55758,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,19,118.253769,75.25044,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,20,118.24086,75.29205,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,21,118.231705,75.1963654,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,0,1,383,2100,Yes,Hit
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,22,118.217957,74.9199,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,23,118.191284,74.8393555,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,24,118.183022,74.6447144,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,25,118.1782,74.61499,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,0,1,317,2100,Yes,Hit
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,26,118.17804,74.46385,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,27,118.169388,74.32766,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
nsinternal_ag,2020-05-19T23:59:19.646Z,2020-05-19T23:59:19.646Z,,Sustained,28,118.1755,74.18983,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1,0,0,2100,No,Correct Rejection
