Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Inter Time Interval,Late Response,Response Time,Response Window
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Left,6,117.877579,79.42371,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1100,1,317,307
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Left,7,117.874077,79.3364258,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,900,0,266,387
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Left,8,117.870781,79.13122,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,800,0,300,377
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Left,9,117.863075,79.02541,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1200,0,334,357
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Left,10,117.851959,78.9038239,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,900,0,300,327
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Left,11,117.860374,78.66626,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1100,1,300,287
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Left,12,117.861572,78.49499,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1000,0,317,327
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Left,13,117.832642,78.27099,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,800,0,317,317
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Left,14,117.828461,78.21139,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1200,0,316,357
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,0,117.808189,77.79974,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1200,1,500,417
