Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Object Count,Point 0 RT,Point 1 RT,Point 10 RT,Point 11 RT,Point 12 RT,Point 13 RT,Point 14 RT,Point 2 RT,Point 3 RT,Point 4 RT,Point 5 RT,Point 6 RT,Point 7 RT,Point 8 RT,Point 9 RT,Response Time,Response Window,Stimulus Array Time,Tap 0 RT,Tap 1 RT,Tap 10 RT,Tap 11 RT,Tap 12 RT,Tap 13 RT,Tap 14 RT,Tap 2 RT,Tap 3 RT,Tap 4 RT,Tap 5 RT,Tap 6 RT,Tap 7 RT,Tap 8 RT,Tap 9 RT,Total Taps
nsinternal_ss,2020-05-20T01:17:42.947Z,2020-05-20T01:17:42.947Z,,default,5,114.705536,255.443756,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,5,"{640, 122}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{99, 293}","{456, 183}","{446, 61}",N/A,N/A,N/A,N/A,N/A,3283,10000,6000,583,634,N/A,N/A,N/A,N/A,N/A,616,750,700,N/A,N/A,N/A,N/A,N/A,5
nsinternal_ss,2020-05-20T01:17:42.947Z,2020-05-20T01:17:42.947Z,,default,6,114.479584,252.522141,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,6,"{446, 61}","{49, 102}",N/A,N/A,N/A,N/A,N/A,"{456, 183}","{230, 224}","{427, 315}","{249, 41}",N/A,N/A,N/A,N/A,3667,11000,7000,333,650,N/A,N/A,N/A,N/A,N/A,701,616,600,767,N/A,N/A,N/A,N/A,6
nsinternal_ss,2020-05-20T01:17:42.947Z,2020-05-20T01:17:42.947Z,,default,7,114.200348,251.313934,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,6,"{249, 41}","{446, 61}",N/A,N/A,N/A,N/A,N/A,"{640, 122}","{49, 102}","{99, 293}","{427, 315}",N/A,N/A,N/A,N/A,3584,11000,7000,467,533,N/A,N/A,N/A,N/A,N/A,600,783,600,601,N/A,N/A,N/A,N/A,6
nsinternal_ss,2020-05-20T01:17:42.947Z,2020-05-20T01:17:42.947Z,,default,8,114.046715,251.0446,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,7,"{49, 102}","{249, 41}",N/A,N/A,N/A,N/A,N/A,"{230, 224}","{99, 293}","{591, 244}","{456, 183}","{446, 61}",N/A,N/A,N/A,4017,12000,8000,433,467,N/A,N/A,N/A,N/A,N/A,700,550,834,449,584,N/A,N/A,N/A,7
nsinternal_ss,2020-05-20T01:17:42.947Z,2020-05-20T01:17:42.947Z,,default,9,113.957428,252.147308,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,7,"{456, 183}","{591, 244}",N/A,N/A,N/A,N/A,N/A,"{99, 293}","{230, 224}","{49, 102}","{427, 315}","{640, 122}",N/A,N/A,N/A,5050,12000,8000,1050,566,N/A,N/A,N/A,N/A,N/A,750,667,667,683,667,N/A,N/A,N/A,7
nsinternal_ss,2020-05-20T01:17:42.947Z,2020-05-20T01:17:42.947Z,,default,10,113.765205,250.8104,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,0,8,"{591, 244}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{49, 102}","{456, 183}","{249, 41}","{427, 315}","{99, 293}","{640, 122}",N/A,N/A,3750,13000,9000,1233,1084,N/A,N/A,N/A,N/A,N/A,783,650,N/A,N/A,N/A,N/A,N/A,N/A,4
nsinternal_ss,2020-05-20T01:17:42.947Z,2020-05-20T01:17:42.947Z,,default,11,113.5863,249.080124,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,0,8,"{591, 244}","{446, 61}",N/A,N/A,N/A,N/A,N/A,"{456, 183}","{427, 315}","{249, 41}","{99, 293}","{49, 102}","{640, 122}",N/A,N/A,1517,13000,9000,916,601,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
nsinternal_ss,2020-05-20T01:17:42.947Z,2020-05-20T01:17:42.947Z,,default,12,113.088242,253.725311,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,8,"{427, 315}","{446, 61}",N/A,N/A,N/A,N/A,N/A,"{591, 244}","{640, 122}","{456, 183}","{249, 41}","{99, 293}","{230, 224}",N/A,N/A,9084,13000,9000,1233,867,N/A,N/A,N/A,N/A,N/A,1017,900,817,2533,884,833,N/A,N/A,8
nsinternal_ss,2020-05-20T01:17:42.947Z,2020-05-20T01:17:42.947Z,,default,13,112.808975,253.6189,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,8,"{446, 61}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{640, 122}","{456, 183}","{427, 315}","{249, 41}","{49, 102}","{99, 293}",N/A,N/A,7000,13000,9000,1084,666,N/A,N/A,N/A,N/A,N/A,983,634,750,833,683,1367,N/A,N/A,8
nsinternal_ss,2020-05-20T01:17:42.947Z,2020-05-20T01:17:42.947Z,,default,14,112.631073,251.9569,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,0,9,"{446, 61}","{427, 315}",N/A,N/A,N/A,N/A,N/A,"{99, 293}","{456, 183}","{591, 244}","{49, 102}","{230, 224}","{640, 122}","{249, 41}",N/A,1267,14000,10000,783,484,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
