"5031.777024269104","N/A","N/A","N/A","5","2646.74299955368","N/A","{784, 317}","2914.807975292206","{472, 550}","1","5581.86399936676","N/A","N/A","N/A","{513, 685}","N/A","{471, 271}","{222, 225}","N/A","4415.120959281921","4614.601969718933","N/A","N/A","5","5079.846978187561","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"5034.653007984161","N/A","N/A","N/A","5","1082.313001155853","N/A","{784, 317}","1497.307002544403","{513, 685}","0","3917.02002286911","N/A","N/A","N/A","{929, 213}","N/A","{407, 132}","{912, 420}","N/A","1898.221015930176","2464.447021484375","N/A","N/A","5","3414.955019950867","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"5033.986985683441","N/A","N/A","N/A","5","854.4620275497437","N/A","{788, 143}","1335.744023323059","{407, 132}","1","3191.138029098511","N/A","N/A","N/A","{513, 685}","N/A","{929, 213}","{472, 550}","N/A","1819.006025791168","2286.715030670166","N/A","N/A","5","2689.000010490417","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"6038.518011569977","N/A","N/A","N/A","6","1502.296030521393","N/A","{174, 473}","N/A","{93, 151}","0","2004.943013191223","{642, 160}","N/A","N/A","{513, 685}","N/A","{222, 225}","{788, 143}","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"6037.777006626129","N/A","N/A","N/A","6","938.0459785461426","N/A","{223, 700}","1241.444945335388","{873, 573}","0","2407.178997993469","{706, 542}","N/A","N/A","{646, 692}","N/A","{784, 317}","{654, 390}","N/A","1537.957966327667","1904.628992080688","N/A","N/A","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",






"","TIME:","2017-09-28T08:37:59-0700","",""
"","USER ID:","ADMIN-UCSF-pe132","",""
"","User Name:","pe132","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","37","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","NO","",""
"Stimulus Array Time","Tap 11 RT","Point 10 RT","Point 14 RT","Object Count","Tap 1 RT","Tap 14 RT","Point 1 RT","Tap 2 RT","Point 2 RT","Correct Button","Response Time","Point 6 RT","Point 7 RT","Point 8 RT","Point 3 RT","Point 9 RT","Point 4 RT","Point 5 RT","Tap 12 RT","Tap 3 RT","Tap 4 RT","Point 11 RT","Point 15 RT","Total Taps","Tap 5 RT","Tap 15 RT","Tap 6 RT","Tap 10 RT","Point 12 RT","Tap 7 RT","Tap 8 RT","Tap 13 RT","Tap 9 RT","Point 13 RT",
"3020.247995853424","N/A","N/A","N/A","3","218.982994556427","N/A","{823, 602}","518.6039805412292","{564, 206}","1","1337.992966175079","N/A","N/A","N/A","{327, 689}","N/A","N/A","N/A","N/A","835.9540104866028","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"3021.332025527954","N/A","N/A","N/A","3","458.7040543556213","N/A","{423, 213}","808.2500100135803","{705, 224}","1","1543.560028076172","N/A","N/A","N/A","{122, 253}","N/A","N/A","N/A","N/A","1041.473031044006","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"4024.757981300354","N/A","N/A","N/A","4","420.3670024871826","N/A","{282, 284}","754.3650269508362","{288, 128}","0","2005.568981170654","N/A","N/A","N/A","{692, 687}","N/A","{871, 149}","N/A","N/A","1136.108994483948","1503.435969352722","N/A","N/A","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"4025.644958019257","N/A","N/A","N/A","4","519.6220278739929","N/A","{564, 206}","968.6779975891113","{122, 253}","1","2324.003994464874","N/A","N/A","N/A","{872, 282}","N/A","{288, 128}","N/A","N/A","1419.023036956787","1821.81704044342","N/A","N/A","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"4024.403989315033","N/A","N/A","N/A","4","1300.227999687195","N/A","{823, 602}","1749.477028846741","{952, 649}","1","2719.211995601654","N/A","N/A","N/A","{844, 445}","N/A","{288, 128}","N/A","N/A","1999.274015426636","2216.894030570984","N/A","N/A","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"5035.189986228943","N/A","N/A","N/A","5","340.9169912338257","N/A","{314, 418}","707.8199982643127","{564, 206}","0","2109.382033348083","N/A","N/A","N/A","{282, 284}","N/A","{844, 445}","{423, 213}","N/A","1607.243001461029","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"5035.297989845276","N/A","N/A","N/A","5","393.2300209999084","N/A","{574, 432}","727.3920178413391","{564, 206}","1","1995.263040065765","N/A","N/A","N/A","{122, 253}","N/A","{282, 284}","{705, 224}","N/A","922.0750331878662","1260.428011417389","N/A","N/A","5","1493.218004703522","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
