"","TIME:","2017-09-08T09:55:54-0700","",""
"","USER ID:","ADMIN-UCSF-bo034","",""
"","User Name:","bo034","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 40;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
    TraceTime = 20;
}","",""
"Tap & Trace (Trace)",
"TOTAL DOTS TRACED"
"213",
"Trace Only",
"TOTAL DOTS TRACED"
"49",
"Tap & Trace",
"Correct Button","DISCRIMINATION CUE TYPE","Is Valid Cue","Response Window","Trial Accuracy","Response Time","CUE","Late Response",
"1","TARGET","1","730","Hit","515.1450037956238","Green Circle","0",
"1","HCL","0","710","Correct Rejection","0","Green Square","N/A",
"0","TARGET","1","710","Miss","N/A","Green Circle","1",
"1","MCL","0","750","Correct Rejection","0","Yellow Circle","N/A",
"1","HCL","0","750","Correct Rejection","0","Green Square","N/A",
"1","HCL","0","750","Correct Rejection","0","Green Square","N/A",
"1","TARGET","1","750","Hit","525.1980423927307","Green Circle","0",
"0","TARGET","1","740","Miss","N/A","Green Circle","1",
"1","TARGET","1","780","Hit","523.438036441803","Green Circle","0",
"1","TARGET","1","770","Hit","765.841007232666","Green Circle","0",






"","TIME:","2017-09-13T11:37:19-0700","",""
"","USER ID:","ADMIN-UCSF-cp024","",""
"","User Name:","cp024","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 40;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
    TraceTime = 20;
}","",""
"Tap & Trace (Trace)",
"TOTAL DOTS TRACED"
"165",
"Trace Only",
"TOTAL DOTS TRACED"
"54",
"Tap & Trace",
"Correct Button","DISCRIMINATION CUE TYPE","Is Valid Cue","Response Window","Trial Accuracy","Response Time","CUE","Late Response",
"1","LCL","0","800","Correct Rejection","0","Red Square","N/A",
"1","HCL","0","800","Correct Rejection","0","Green Pentagon","N/A",
"1","LCL","0","800","Correct Rejection","0","Red Pentagon","N/A",
"1","HCL","0","800","Correct Rejection","0","Green Pentagon","N/A",
"0","TARGET","1","800","Miss","N/A","Green Circle","0",
"0","TARGET","1","840","Miss","N/A","Green Circle","0",
"1","HCL","0","880","Correct Rejection","0","Green Pentagon","N/A",
"0","TARGET","1","880","Miss","N/A","Green Circle","0",
"1","TARGET","1","920","Hit","462.1649980545044","Green Circle","0",
"1","HCL","0","910","Correct Rejection","0","Green Square","N/A",
"0","HCL","0","910","False Alarm","660.8049869537354","Green Square","N/A",
"1","HCL","0","950","Correct Rejection","0","Green Square","N/A",
"1","MCL","0","950","Correct Rejection","0","Yellow Circle","N/A",
"0","TARGET","1","950","Miss","N/A","Green Circle","0",
"0","TARGET","1","990","Miss","N/A","Green Circle","0",
"1","TARGET","1","1030","Hit","464.1069769859314","Green Circle","0",
"1","LCL","0","1020","Correct Rejection","0","Yellow Pentagon","N/A",
"1","MCL","0","1020","Correct Rejection","0","Red Circle","N/A",
"1","TARGET","1","1020","Hit","889.9909853935242","Green Circle","0",
"1","HCL","0","1010","Correct Rejection","0","Green Square","N/A",
"1","MCL","0","1010","Correct Rejection","0","Yellow Circle","N/A",
"1","HCL","0","1010","Correct Rejection","0","Green Square","N/A",
"0","TARGET","1","1010","Miss","N/A","Green Circle","1",
"1","TARGET","1","1050","Hit","516.759991645813","Green Circle","0",
"1","TARGET","1","1040","Hit","462.8369808197021","Green Circle","0",
"1","TARGET","1","1030","Hit","641.444981098175","Green Circle","0",
"1","MCL","0","1010","Correct Rejection","0","Yellow Circle","N/A",
"1","MCL","0","1010","Correct Rejection","0","Yellow Circle","N/A",
"1","MCL","0","1010","Correct Rejection","0","Red Circle","N/A",
"0","TARGET","1","1010","Miss","N/A","Green Circle","1",
"1","HCL","0","1050","Correct Rejection","0","Green Pentagon","N/A",
"1","TARGET","1","1050","Hit","959.8090052604675","Green Circle","0",
"0","TARGET","1","1040","Miss","N/A","Green Circle","1",
"1","HCL","0","1080","Correct Rejection","0","Green Square","N/A",
"1","TARGET","1","1080","Hit","613.4340167045593","Green Circle","0",
"1","TARGET","1","1070","Hit","722.2819924354553","Green Circle","0",
"1","TARGET","1","1060","Hit","984.2169880867004","Green Circle","0",
"1","TARGET","1","1040","Hit","506.9859623908997","Green Circle","0",
"1","LCL","0","1000","Correct Rejection","0","Yellow Pentagon","N/A",
"1","TARGET","1","1000","Hit","956.7819833755493","Green Circle","0",


"Tap Only",
"Correct Button","DISCRIMINATION CUE TYPE","Is Valid Cue","Response Window","Trial Accuracy","Response Time","CUE","Late Response",
"1","LCL","0","800","Correct Rejection","0","Yellow Square","N/A",
"1","HCL","0","800","Correct Rejection","0","Green Square","N/A",
"1","TARGET","1","800","Hit","669.3010330200195","Green Circle","0",
"1","TARGET","1","790","Hit","507.7930092811584","Green Circle","0",
"1","TARGET","1","780","Hit","475.7739901542664","Green Circle","0",
"1","TARGET","1","760","Hit","391.5190100669861","Green Circle","0",
"1","MCL","0","720","Correct Rejection","0","Yellow Circle","N/A",
"1","TARGET","1","720","Hit","449.9080181121826","Green Circle","0",
"1","TARGET","1","640","Hit","590.0790095329285","Green Circle","0",
"1","TARGET","1","480","Hit","423.272967338562","Green Circle","0",
"0","TARGET","1","160","Hit","640.6430006027222","Green Circle","1",
"1","HCL","0","200","Correct Rejection","0","Green Square","N/A",
"1","LCL","0","200","Correct Rejection","0","Yellow Pentagon","N/A",
"1","HCL","0","200","Correct Rejection","0","Green Square","N/A",
"1","HCL","0","200","Correct Rejection","0","Green Square","N/A",
"0","TARGET","1","200","Hit","797.6530194282532","Green Circle","1",
"1","MCL","0","240","Correct Rejection","0","Red Circle","N/A",
"1","LCL","0","240","Correct Rejection","0","Red Pentagon","N/A",
"0","TARGET","1","240","Hit","681.1980009078979","Green Circle","1",
"0","TARGET","1","280","Hit","616.1909699440002","Green Circle","1",
