"","TIME:","2017-09-07T15:28:51-0700","",""
"","USER ID:","ADMIN-UCSF-te101","",""
"","User Name:","Test101","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","88","",""
"","Test Type:","Practice","",""
"","Build Number:","17","",""
"","OS Version:","10.3.2","",""
"","Device Type:","iPad Mini 2nd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 25;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 1500;
    "P-Start" = 1500;
    Practice = 8;
    Start = 1000;
    TRI = 200;
}","",""
"Feature_12",
"0","880","0","931.7570328712463","1",
"0","920","0","1063.877999782562","1",
"1","960","1","666.8649911880493","0",
"1","950","1","644.8399424552917","0",
"1","940","0","793.0610179901123","0",
"1","920","0","807.3039650917053","0",
"1","880","0","623.786985874176","0",
"1","800","1","657.4539542198181","0",
"0","640","0","815.185010433197","1",
"1","680","0","663.4089946746826","0",
"0","670","1","798.7639904022217","1",
"1","710","0","497.4820017814636","0",
"0","700","1","816.6269659996033","1",
"0","740","0","848.6840128898621","1",
"0","780","0","1308.798968791962","1",
"0","860","1","1026.933014392853","1",
"0","1020","1","1111.620008945465","1",
"1","1340","1","1045.300006866455","0",
"1","1330","1","881.862998008728","0",


"Feature_4",
"Correct Button","Response Window","Position Is Top","Response Time","Late Response",
"1","1000","1","705.9319615364075","0",
"1","990","0","771.4390158653259","0",
"1","980","0","616.4100170135498","0",
"1","960","0","871.5239763259888","0",
"1","920","1","720.5179929733276","0",
"1","840","1","801.8119931221008","0",
"1","680","0","486.4340424537659","0",
"0","360","0","602.8680205345154","1",
"0","400","0","875.5879998207092","1",
"0","440","0","870.697021484375","1",
"0","520","1","783.1520438194275","1",
"0","680","1","667.9009795188904","0",
"1","1000","1","701.492965221405","0",
"1","990","1","720.2109694480896","0",
"1","980","0","704.7690153121948","0",
"0","960","0","973.019003868103","1",
"1","1000","1","632.3769688606262","0",
"1","990","0","649.5489478111267","0",
"1","980","1","519.7200179100037","0",
"0","960","1","536.4390015602112","0",
"0","1000","0","670.4350113868713","0",
"0","1040","1","715.2320146560669","0",
"1","1120","1","702.3400068283081","0",
"1","1110","0","704.0790319442749","0",
"1","1100","1","511.3500356674194","0",


"Conjunction_4",
"Correct Button","Response Window","Position Is Top","Response Time","Late Response",
"1","1000","0","849.759042263031","0",
"1","990","1","917.4999594688416","0",
"1","980","0","760.6499791145325","0",
"1","960","1","729.7919988632202","0",
"1","920","0","860.8819842338562","0",
"0","840","0","626.8010139465332","0",
"0","880","1","847.353994846344","0",
"1","920","0","874.5850324630737","0",
"1","910","0","741.0780191421509","0",
"0","900","0","1194.15295124054","1",
"1","940","0","866.8920397758484","0",
"0","930","1","1214.446008205414","1",
"1","970","0","823.0540156364441","0",
"1","960","1","775.9899497032166","0",
"0","950","1","1162.706971168518","1",
"0","990","1","149.7780084609985","1",
"1","1030","1","791.9359803199768","0",
"1","1020","1","642.9670453071594","0",
"1","1010","0","605.0810217857361","0",
"0","990","0","1423.691034317017","1",
"1","1030","1","996.2130188941956","0",
"0","1020","1","816.9830441474915","0",
"1","1060","1","957.0020437240601","0",
"0","1050","1","1090.901017189026","1",
"1","1090","0","1036.734998226166","0",


"Conjunction_12",
"Correct Button","Response Window","Position Is Top","Response Time","Late Response",
"0","1000","1","1470.193028450012","1",
"0","1040","0","1206.505000591278","1",
"0","1080","0","1221.035003662109","1",
"0","1160","1","584.8010182380676","0",
"0","1320","0","836.4799618721008","0",
"0","1640","1","532.8450202941895","0",
"1","2280","0","718.2749509811401","0",
"1","2270","1","617.1889901161194","0",
"0","2260","1","754.1120052337646","0",
"0","2300","1","768.500030040741","0",
"1","2340","1","453.5399675369263","0",
"1","2330","1","449.0540027618408","0",
"0","2320","0","701.2330293655396","0",
"0","2360","0","1555.716037750244","0",
"1","2400","1","1780.538022518158","0",
"1","2390","0","1784.409999847412","0",
"1","2380","0","1731.963992118835","0",
"1","2360","0","834.2710137367249","0",
"1","2320","1","1438.551008701324","0",
"1","2240","0","1613.858044147491","0",
"1","2080","1","1388.033032417297","0",
"1","1760","0","1303.358972072601","0",
"0","1120","1","N/A","1",
"0","1160","0","1934.946000576019","1",
"0","1200","1","1883.552014827728","1",






"","TIME:","2017-09-14T14:09:05-0700","",""
"","USER ID:","ADMIN-UCSF-se019","",""
"","User Name:","se019","",""
"","User Age:","12","",""
"","User Grade:","6","",""
"","User Gender:","MALE","",""
"","User Handedness:","LEFT","",""
"","iPad Number:","88","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.3.2","",""
"","Device Type:","iPad Mini 2nd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 25;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 1500;
    "P-Start" = 1500;
    Practice = 8;
    Start = 1000;
    TRI = 200;
}","",""
"Feature_12",
"Correct Button","Response Window","Position Is Top","Response Time","Late Response",
"1","1000","1","671.9860434532166","0",
"1","990","0","770.2270150184631","0",
"1","980","1","649.5890021324158","0",
"1","960","0","767.7050232887268","0",
"1","920","1","517.3319578170776","0",
"0","840","0","983.4839701652527","1",
"1","880","0","676.9790053367615","0",
"1","870","1","533.4570407867432","0",
"1","860","0","701.6429901123047","0",
"1","840","1","750.0240206718445","0",
"1","800","0","665.5349731445312","0",
"1","720","1","711.359977722168","0",
"0","560","0","N/A","1",
"0","600","0","738.6689782142639","1",
"0","640","1","879.1570067405701","1",
"0","720","1","731.7519783973694","1",
"1","880","0","667.1609878540039","0",
"1","870","1","850.4990339279175","0",
"1","860","1","713.9469981193542","0",
"1","840","1","730.8419942855835","0",
"1","800","1","681.1919808387756","0",
"0","720","0","765.3509974479675","1",
"0","760","0","1196.703016757965","1",
"0","800","0","1397.822976112366","1",
"1","880","1","677.0820021629333","0",


"Feature_4",
"Correct Button","Response Window","Position Is Top","Response Time","Late Response",
"0","1000","1","1089.597046375275","1",
"1","1040","1","807.8339695930481","0",
"1","1030","1","523.1480002403259","0",
"1","1020","0","491.8279647827148","0",
"1","1000","0","809.1119527816772","0",
"1","960","0","587.7640247344971","0",
"1","880","0","800.553023815155","0",
"1","720","1","620.7500100135803","0",
"0","400","0","625.3100037574768","1",
"0","440","0","540.8530235290527","1",
"0","480","0","656.8629741668701","1",
"0","560","0","1036.960959434509","1",
"0","720","0","774.4070291519165","1",
"1","1040","1","688.2250308990479","0",
