"","TIME:","2017-09-08T09:26:35-0700","",""
"","USER ID:","ADMIN-UCSF-bo034","",""
"","User Name:","bo034","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"0","800","N/A","0","0","1",
"1","800","386.0129714012146","0","2","1",
"1","790","538.1160378456116","0","2","1",
"1","800","718.7550067901611","0","1","0",
"1","780","499.0260004997253","0","2","0",
"0","790","516.8030261993408","0","1","1",
"1","760","553.1970262527466","0","2","1",
"0","720","N/A","1","2","1",
"0","830","434.2039823532104","0","1","0",
"1","760","535.1499915122986","0","2","0",
"0","870","670.6469655036926","0","1","1",
"0","750","515.300989151001","0","2","1",
"1","950","517.0349478721619","0","1","0",
"1","790","529.170036315918","0","2","0",
"1","940","315.1050209999084","0","1","1",
"1","780","597.7590084075928","0","2","1",
"0","770","546.9149947166443","0","2","1",
"1","930","333.4439992904663","0","1","0",
"1","810","582.1059942245483","0","2","0",
"1","800","497.2429871559143","0","2","0",
"1","910","681.0219883918762","0","1","1",
"1","790","634.8140239715576","0","2","1",
"1","870","582.8009843826294","0","1","0",
"0","770","530.862033367157","0","2","0",
"1","790","412.572979927063","0","1","1",
"1","810","495.7799911499023","0","2","1",
"1","800","697.4519491195679","0","2","1",
"0","790","650.4929661750793","0","2","1",
"1","830","565.4359459877014","0","2","1",
"1","820","581.9120407104492","0","2","1",






"","TIME:","2017-09-13T11:07:13-0700","",""
"","USER ID:","ADMIN-UCSF-cp024","",""
"","User Name:","cp024","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"1","800","521.1730003356934","0","0","1",
"0","800","489.5300269126892","0","2","1",
"1","840","600.7440090179443","0","2","1",
"1","800","549.6780276298523","0","1","0",
"0","830","N/A","1","2","0",
"1","870","513.0079984664917","0","2","0",
"1","790","366.0879731178284","0","1","1",
"0","860","502.1669864654541","0","2","1",
"1","780","402.5580286979675","0","1","0",
"0","900","535.6859564781189","0","2","0",
"1","940","534.2569947242737","0","2","0",
"1","760","534.0960025787354","0","1","1",
"0","930","519.116997718811","0","2","1",
"1","720","615.4060363769531","0","1","0",
"0","970","594.202995300293","0","2","0",
"1","640","478.6930084228516","0","1","1",
"1","1010","392.8030133247375","0","2","1",
"0","480","467.3070311546326","0","1","0",
"1","1000","1011.95502281189","1","2","0",
"1","520","709.3579769134521","1","1","1",
"1","990","516.2959694862366","0","2","1",
"1","510","514.4000053405762","1","1","0",
"1","970","467.1149849891663","0","2","0",
"1","500","531.2539935112","1","1","1",
"1","930","713.7969732284546","0","2","1",
"1","850","407.1779847145081","0","2","1",
"1","690","957.3619961738586","1","2","1",
"0","680","525.2650380134583","0","2","1",
"1","720","679.4149875640869","0","2","1",
"1","710","380.1780343055725","0","2","1",






"","TIME:","2017-09-14T10:28:38-0700","",""
"","USER ID:","ADMIN-UCSF-se084","",""
"","User Name:","se084","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"1","800","351.9330024719238","0","0","1",
"1","800","356.4559817314148","0","2","1",
"1","790","387.4030113220215","0","2","1",
"1","800","391.6720151901245","0","1","0",
"1","780","399.5800018310547","0","2","0",
"1","760","385.0240111351013","0","2","0",
"1","790","398.1320261955261","0","1","1",
"1","720","317.6010251045227","0","2","1",
"0","780","352.5570034980774","0","1","0",
"1","640","518.6730027198792","0","2","0",
"1","820","533.6599946022034","0","1","1",
"1","480","316.5450096130371","0","2","1",
"1","810","395.5320119857788","0","1","0",
"0","160","313.664972782135","1","2","0",
"1","200","313.8550519943237","1","2","0",
"1","800","385.9819769859314","0","1","1",
"1","190","481.2430143356323","1","2","1",
"0","180","527.5260210037231","1","2","1",
"1","780","279.4820070266724","0","1","0",
"1","340","449.4779706001282","1","2","0",
"1","740","417.0399904251099","0","1","1",
"0","330","N/A","1","2","1",
"1","970","389.494001865387","0","2","1",
"1","660","450.6979584693909","0","1","0",
"1","960","328.3250331878662","0","2","0",
"1","500","463.7269973754883","0","1","1",
"1","950","318.3299899101257","0","2","1",
"1","930","346.1189866065979","0","2","1",
"1","890","428.4220337867737","0","2","1",
"1","810","646.7970013618469","0","2","1",






"","TIME:","2017-09-26T08:55:42-0700","",""
"","USER ID:","ADMIN-UCSF-la130","",""
"","User Name:","la130","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"0","800","497.7899789810181","0","0","1",
"1","800","416.3380265235901","0","2","1",
"1","790","452.3090124130249","0","2","1",
"0","800","434.98295545578","0","1","0",
"0","780","316.7359828948975","0","2","0",
"1","820","403.7430286407471","0","2","0",
"1","840","333.6319923400879","0","1","1",
"0","810","536.870002746582","0","2","1",
"1","850","397.3369598388672","0","2","1",
"0","830","333.4909677505493","0","1","0",
"0","840","334.1580033302307","0","2","0",
"0","870","434.5570206642151","0","1","1",
"0","880","N/A","0","2","1",
"1","910","487.5869750976562","0","1","0",
"1","920","499.2989897727966","0","2","0",
"1","900","483.2600355148315","0","1","1",
"1","910","466.6029810905457","0","2","1",
"1","900","511.2159848213196","0","2","1",
"0","890","380.6610107421875","0","1","0",
"0","880","431.5240383148193","0","2","0",
"1","930","461.8499875068665","0","1","1",
"1","920","297.1950173377991","0","2","1",
"1","920","399.5509743690491","0","1","0",
"1","910","634.4010233879089","0","2","0",
"1","900","626.5429854393005","0","2","0",
"1","910","382.394015789032","0","1","1",
"1","880","381.6140294075012","0","2","1",
"1","840","431.2509894371033","0","2","1",
"0","760","397.2820043563843","0","2","1",
"1","800","581.2709927558899","0","2","1",






"","TIME:","2017-09-26T11:21:02-0700","",""
"","USER ID:","ADMIN-UCSF-la193","",""
"","User Name:","la193","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","MALE","",""
"","User Handedness:","LEFT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"0","800","N/A","0","0","1",
"1","800","689.6200180053711","0","2","1",
"0","800","568.02898645401","0","1","0",
"0","790","283.2269668579102","0","2","0",
"0","840","N/A","0","1","1",
"0","830","333.2499861717224","0","2","1",
"1","870","360.4879975318909","0","2","1",
"1","880","444.6989893913269","0","1","0",
"0","860","N/A","1","2","0",
"1","900","552.7650117874146","0","2","0",
"1","870","531.777024269104","0","1","1",
"1","890","401.2879729270935","0","2","1",
"1","880","717.0000076293945","0","2","1",
"1","860","578.345000743866","0","1","0",
"1","860","400.3419876098633","0","2","0",
"1","840","228.2969951629639","0","1","1",
"1","820","518.6100006103516","0","2","1",
"1","740","431.7659735679626","0","2","1",
"1","800","233.6350083351135","0","1","0",
"1","580","299.5460033416748","0","2","0",
"1","260","598.3229875564575","1","2","0",
"0","720","782.6150059700012","1","1","1",
"0","250","N/A","1","2","1",
"1","290","546.6330051422119","1","2","1",
"1","760","749.9439716339111","0","1","0",
"0","280","N/A","1","2","0",
"0","750","628.1589865684509","0","1","1",
