"","TIME:","2017-09-08T09:37:39-0700","",""
"","USER ID:","ADMIN-UCSF-bo025","",""
"","User Name:","bo025","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","21","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 40;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 600;
    "P-Start" = 1500;
    Practice = 5;
    Start = 600;
    TRI = 200;
}","",""
"Sustained",
"Correct Button","Response Window","Trial Accuracy","Position Is Top","Response Time","Late Response",
"1","440","Hit","1","424.377977848053","0",
"1","430","Correct Rejection","0","0","N/A",
"1","430","Correct Rejection","0","0","N/A",
"1","430","Correct Rejection","0","0","N/A",
"0","430","Miss","1","N/A","1",
"0","470","Miss","1","495.2170252799988","0",
"1","510","Hit","1","438.7419819831848","0",
"1","500","Correct Rejection","0","0","N/A",
"1","500","Hit","1","396.3249921798706","0",
"1","490","Hit","1","387.7489566802979","0",
"1","470","Hit","1","469.4880247116089","0",
"1","430","Hit","1","354.1909456253052","0",
"1","350","Hit","1","321.7520117759705","0",
"0","190","Miss","1","488.1649613380432","0",
"0","230","Miss","1","438.9169812202454","0",
"0","270","False Alarm","0","69.72199678421021","N/A",
"1","350","Correct Rejection","0","0","N/A",
"0","350","Miss","1","N/A","1",
"0","390","Miss","1","N/A","1",
"1","430","Hit","1","382.4660181999207","0",
"0","420","Miss","1","N/A","1",
"1","460","Correct Rejection","0","0","N/A",
"0","460","Miss","1","N/A","1",
"1","500","Correct Rejection","0","0","N/A",
"1","500","Hit","1","157.5149893760681","0",
"1","490","Hit","1","436.6660118103027","0",
"1","480","Hit","1","452.0450234413147","0",
"1","460","Hit","1","436.5790486335754","0",
"0","420","False Alarm","0","380.7609677314758","N/A",


"Impulsive",
"Correct Button","Response Window","Trial Accuracy","Position Is Top","Response Time","Late Response",
"0","600","False Alarm","0","305.5779933929443","N/A",
"1","640","Correct Rejection","0","0","N/A",
"1","640","Correct Rejection","0","0","N/A",
"1","640","Hit","1","447.1290111541748","0",
"0","630","False Alarm","0","483.3289980888367","N/A",
"1","670","Correct Rejection","0","0","N/A",
"1","670","Correct Rejection","0","0","N/A",
"1","670","Correct Rejection","0","0","N/A",
"1","670","Correct Rejection","0","0","N/A",
"1","670","Correct Rejection","0","0","N/A",
"1","670","Correct Rejection","0","0","N/A",
"1","670","Hit","1","417.2799587249756","0",
"1","660","Correct Rejection","0","0","N/A",
"1","660","Correct Rejection","0","0","N/A",
"1","660","Correct Rejection","0","0","N/A",
"1","660","Correct Rejection","0","0","N/A",
"1","660","Hit","1","452.6439905166626","0",
"1","650","Correct Rejection","0","0","N/A",
"1","650","Hit","1","445.1220035552979","0",
"1","630","Hit","1","581.1989903450012","0",
"1","590","Correct Rejection","0","0","N/A",
"1","590","Correct Rejection","0","0","N/A",
"1","590","Correct Rejection","0","0","N/A",
"1","590","Correct Rejection","0","0","N/A",
"1","590","Hit","1","529.4190049171448","0",
"1","510","Hit","1","431.6269755363464","0",
"0","350","False Alarm","0","112.0339632034302","N/A",
"0","390","Miss","1","632.6729655265808","0",
"0","430","False Alarm","0","281.6469669342041","N/A",
"0","510","False Alarm","0","381.4949989318848","N/A",
"1","670","Correct Rejection","0","0","N/A",
"1","670","Hit","1","310.2660179138184","0",
"1","660","Correct Rejection","0","0","N/A",
"1","660","Hit","1","269.6850299835205","0",
"1","650","Correct Rejection","0","0","N/A",
"1","650","Hit","1","309.7689747810364","0",
"1","630","Correct Rejection","0","0","N/A",
"1","630","Hit","1","429.2609691619873","0",
"1","590","Correct Rejection","0","0","N/A",
"1","590","Correct Rejection","0","0","N/A",






"","TIME:","2017-09-13T11:18:56-0700","",""
"","USER ID:","ADMIN-UCSF-cp401","",""
"","User Name:","cp401","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","21","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 40;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 600;
    "P-Start" = 1500;
    Practice = 5;
    Start = 600;
    TRI = 200;
}","",""
"Sustained",
"Correct Button","Response Window","Trial Accuracy","Position Is Top","Response Time","Late Response",
"1","600","Hit","1","548.9619970321655","0",
"1","590","Correct Rejection","0","0","N/A",
"1","590","Correct Rejection","0","0","N/A",
"1","590","Hit","1","460.7140421867371","0",
"1","580","Hit","1","476.0879874229431","0",
"1","560","Hit","1","405.1779508590698","0",
"0","520","Miss","1","542.5460338592529","0",
"1","560","Hit","1","489.0329837799072","0",
"1","550","Hit","1","423.5150218009949","0",
"1","540","Correct Rejection","0","0","N/A",
"1","540","Correct Rejection","0","0","N/A",
"1","540","Hit","1","369.2730069160461","0",
"1","520","Hit","1","518.5790061950684","0",
"1","480","Correct Rejection","0","0","N/A",
"1","480","Hit","1","263.2739543914795","0",
"1","400","Correct Rejection","0","0","N/A",
"1","400","Hit","1","290.4410362243652","0",
"1","240","Correct Rejection","0","0","N/A",
"1","240","Correct Rejection","0","0","N/A",
"0","240","Miss","1","280.3879976272583","0",
"1","280","Correct Rejection","0","0","N/A",
"1","280","Hit","1","273.9740014076233","0",
