"","TIME:","2017-09-28T09:03:57-0700","",""
"","USER ID:","ADMIN-UCSF-pe193","",""
"","User Name:","pe193","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","404","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","9.3.3","",""
"","Device Type:","iPad Mini 4", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 50;
    Adaptive = 1;
    ColorPractice = 15;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Word Game",
"Correct Button","Color Shown","Response Window","Trial Type","Response Time","Late Response","Color Pressed",
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","404","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","9.3.3","",""
"","Device Type:","iPad Mini 4", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 50;
    Adaptive = 1;
    ColorPractice = 15;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Word Game",
"Correct Button","Color Shown","Response Window","Trial Type","Response Time","Late Response","Color Pressed",
"1","GREEN","800","INCONGRUENT","637.7870440483093","0","GREEN",
"1","WHITE","800","CONGRUENT","520.0719833374023","0","WHITE",
"1","RED","790","CONGRUENT","632.5370073318481","0","RED",
"1","YELLOW","790","INCONGRUENT","492.2109842300415","0","YELLOW",
"1","GREEN","780","CONGRUENT","481.2049865722656","0","GREEN",
"1","GREEN","780","INCONGRUENT","476.1469960212708","0","GREEN",
"1","WHITE","760","CONGRUENT","682.4849843978882","0","WHITE",
"1","YELLOW","720","CONGRUENT","534.4099998474121","0","YELLOW",
"1","RED","640","CONGRUENT","562.6019835472107","0","RED",
"1","RED","480","CONGRUENT","566.6469931602478","1","RED",
"1","YELLOW","470","CONGRUENT","574.4940042495728","1","YELLOW",
"1","GREEN","460","CONGRUENT","539.8820042610168","1","GREEN",
"1","GREEN","450","CONGRUENT","783.5530042648315","1","GREEN",
"1","WHITE","440","CONGRUENT","606.6190004348755","1","WHITE",
"0","WHITE","430","CONGRUENT","589.6509885787964","1","GREEN",
"1","WHITE","1070","CONGRUENT","587.0950222015381","0","WHITE",
"1","GREEN","1060","CONGRUENT","565.9000277519226","0","GREEN",
"1","YELLOW","1050","CONGRUENT","699.3589997291565","0","YELLOW",
"1","WHITE","1030","CONGRUENT","536.9009971618652","0","WHITE",
"1","GREEN","990","CONGRUENT","415.9449934959412","0","GREEN",
"1","YELLOW","910","CONGRUENT","648.5809683799744","0","YELLOW",
"1","YELLOW","760","INCONGRUENT","488.9259934425354","0","YELLOW",
"1","WHITE","720","INCONGRUENT","614.5220398902893","0","WHITE",
"1","GREEN","640","INCONGRUENT","503.2429695129395","0","GREEN",
"1","YELLOW","480","INCONGRUENT","498.7889528274536","1","YELLOW",
"0","RED","750","CONGRUENT","521.028995513916","0","WHITE",
"1","WHITE","470","INCONGRUENT","430.0090074539185","0","WHITE",
"1","GREEN","790","CONGRUENT","685.8639717102051","0","GREEN",
"1","WHITE","780","CONGRUENT","603.8950085639954","0","WHITE",
"1","YELLOW","770","CONGRUENT","712.1120095252991","0","YELLOW",
"1","YELLOW","460","INCONGRUENT","468.3240056037903","1","YELLOW",
"1","WHITE","750","CONGRUENT","545.3100204467773","0","WHITE",
"1","YELLOW","710","CONGRUENT","810.0390434265137","1","YELLOW",
"1","YELLOW","450","INCONGRUENT","637.9099488258362","1","YELLOW",
"1","GREEN","700","CONGRUENT","734.5179915428162","1","GREEN",
"1","RED","690","CONGRUENT","708.4169983863831","1","RED",
"1","RED","680","CONGRUENT","589.1569852828979","0","RED",
"1","RED","670","CONGRUENT","517.145037651062","0","RED",
"1","YELLOW","660","CONGRUENT","683.1730008125305","1","YELLOW",
"1","GREEN","650","CONGRUENT","692.0590400695801","1","GREEN",
"1","GREEN","640","CONGRUENT","590.1630520820618","0","GREEN",
"1","WHITE","630","CONGRUENT","531.872034072876","0","WHITE",
"1","WHITE","440","INCONGRUENT","541.4460301399231","1","WHITE",
"1","YELLOW","430","INCONGRUENT","657.21595287323","1","YELLOW",
"1","GREEN","620","CONGRUENT","540.9010052680969","0","GREEN",
"1","GREEN","420","INCONGRUENT","573.6960172653198","1","GREEN",
"1","YELLOW","410","INCONGRUENT","666.1059856414795","1","YELLOW",
"0","RED","600","CONGRUENT","538.6409759521484","0","GREEN",
"1","GREEN","400","INCONGRUENT","481.5349578857422","1","GREEN",
"1","WHITE","640","CONGRUENT","570.268988609314","0","WHITE",






"","TIME:","2017-10-03T13:02:37-0700","",""
"","USER ID:","ADMIN-UCSF-pe664","",""
"","User Name:","pe664","",""
"","User Age:","11","",""
"","User Grade:","6","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","404","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","9.3.3","",""
"","Device Type:","iPad Mini 4", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 50;
    Adaptive = 1;
    ColorPractice = 15;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Word Game",
"Correct Button","Color Shown","Response Window","Trial Type","Response Time","Late Response","Color Pressed",
"1","RED","800","CONGRUENT","781.8530201911926","0","RED",
"1","YELLOW","790","CONGRUENT","26.67403221130371","1","YELLOW",
"1","GREEN","780","CONGRUENT","568.0840015411377","0","GREEN",
"1","YELLOW","760","CONGRUENT","542.0770049095154","0","YELLOW",
"1","YELLOW","720","CONGRUENT","566.0810470581055","0","YELLOW",
"1","WHITE","640","CONGRUENT","601.419985294342","0","WHITE",
"1","WHITE","480","CONGRUENT","448.9260315895081","0","WHITE",
"1","GREEN","160","CONGRUENT","716.8949842453003","1","GREEN",
"1","GREEN","150","CONGRUENT","507.3539614677429","1","GREEN",
"1","YELLOW","140","CONGRUENT","706.9169878959656","1","YELLOW",
"0","RED","130","CONGRUENT","505.9990286827087","1","GREEN",
"1","RED","290","CONGRUENT","558.4149956703186","1","RED",
"1","YELLOW","280","CONGRUENT","639.2650008201599","1","YELLOW",
"0","YELLOW","270","CONGRUENT","590.0009870529175","1","RED",
"1","GREEN","800","INCONGRUENT","804.9739599227905","1","GREEN",
"1","GREEN","790","INCONGRUENT","557.1640133857727","0","GREEN",
"1","WHITE","780","INCONGRUENT","622.1320033073425","0","WHITE",
"1","YELLOW","1550","CONGRUENT","604.7989726066589","0","YELLOW",
"1","YELLOW","770","INCONGRUENT","741.366982460022","0","YELLOW",
"1","WHITE","750","INCONGRUENT","502.8020143508911","0","WHITE",
"1","YELLOW","710","INCONGRUENT","548.1160283088684","0","YELLOW",
"0","YELLOW","630","INCONGRUENT","485.8499765396118","0","GREEN",
"1","GREEN","670","INCONGRUENT","873.3839988708496","1","GREEN",
"1","GREEN","1540","CONGRUENT","526.934027671814","0","GREEN",
"1","YELLOW","660","INCONGRUENT","613.1690144538879","0","YELLOW",
"1","GREEN","1530","CONGRUENT","972.3069667816162","0","GREEN",
"1","YELLOW","1510","CONGRUENT","442.8849816322327","0","YELLOW",
"1","GREEN","1470","CONGRUENT","744.1570162773132","0","GREEN",
"1","GREEN","650","INCONGRUENT","727.916955947876","1","GREEN",
"1","GREEN","1390","CONGRUENT","874.4059801101685","0","GREEN",
"1","GREEN","1230","CONGRUENT","700.6350159645081","0","GREEN",
"1","RED","910","CONGRUENT","646.5319991111755","0","RED",
"1","YELLOW","270","CONGRUENT","668.3599948883057","1","YELLOW",
"1","RED","260","CONGRUENT","625.806987285614","1","RED",
"1","YELLOW","640","INCONGRUENT","575.1010179519653","0","YELLOW",
"1","YELLOW","630","INCONGRUENT","618.9810037612915","0","YELLOW",
"1","WHITE","250","CONGRUENT","652.2770524024963","1","WHITE",
"1","RED","240","CONGRUENT","633.2090497016907","1","RED",
"1","YELLOW","620","INCONGRUENT","717.0209884643555","1","YELLOW",
"1","YELLOW","230","CONGRUENT","524.0960121154785","1","YELLOW",
"1","GREEN","220","CONGRUENT","683.1420063972473","1","GREEN",
"1","RED","210","CONGRUENT","632.4020028114319","1","RED",
"1","YELLOW","200","CONGRUENT","601.1099815368652","1","YELLOW",
"1","RED","190","CONGRUENT","492.0520186424255","1","RED",
"1","GREEN","610","INCONGRUENT","675.1270294189453","1","GREEN",
"1","WHITE","180","CONGRUENT","623.030960559845","1","WHITE",
"1","WHITE","600","INCONGRUENT","550.5470037460327","0","WHITE",
"1","RED","170","CONGRUENT","705.1630020141602","1","RED",
"1","YELLOW","160","CONGRUENT","781.0350060462952","1","YELLOW",
"1","RED","150","CONGRUENT","646.0840106010437","1","RED",






"","TIME:","2017-10-16T10:20:05-0700","",""
"","USER ID:","ADMIN-UCSF-bo093","",""
"","User Name:","bo093","",""
"","User Age:","11","",""
"","User Grade:","6","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","404","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","9.3.3","",""
"","Device Type:","iPad Mini 4", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 50;
    Adaptive = 1;
    ColorPractice = 15;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Word Game",
"Correct Button","Color Shown","Response Window","Trial Type","Response Time","Late Response","Color Pressed",
"0","GREEN","800","INCONGRUENT","550.8249998092651","0","RED",
"1","GREEN","800","CONGRUENT","634.676992893219","0","GREEN",
"1","YELLOW","840","INCONGRUENT","723.9599823951721","0","YELLOW",
"1","YELLOW","830","INCONGRUENT","516.8860554695129","0","YELLOW",
"1","RED","790","CONGRUENT","526.8440246582031","0","RED",
